10,3.15,1.10,2.05
20,249.60,4.00,5.95
30,1523.35,6.80,9.45
40,6282.35,8.80,12.65
50,22223.15,11.10,16.55
60,65782.40,13.75,21.45
70,168634.55,16.95,26.95
80,381765.40,20.55,33.25
90,787493.45,24.65,40.25
100,1508029.15,29.20,48.35
