10,4.55,1.55,1.85
20,244.35,4.25,5.50
30,1445.65,6.50,9.05
40,6198.60,8.55,12.35
50,22230.75,10.95,17.10
60,65881.45,13.75,21.85
70,169198.15,17.20,27.55
80,382485.80,20.85,33.65
90,789411.15,25.05,40.70
100,1510060.50,29.80,48.60
